Tag,Excerpt,Wiki
filterkeys,FilterKeys is a feature of Microsoft Windows. It is an accessibility function that tells the keyboard to ignore brief or repeated keystrokes.,
tunnelblick,,
guacamole,,
process-hacker,"Process Hacker is an open source Windows tool similar to Microsoft's Process Explorer, used for examining information about currently running processes.",
home-automation-x10,"Use for questions about interfacing a computer with home automation devices, including X10 or other protocols.  Do not use this tag for equipment unrelated to home automation that simply uses ""X10"" as a model name. ","<p>X10 is a protocol for communication among electronic devices used for home automation. It primarily uses power line wiring for signaling and control, where the signals involve brief radio frequency bursts representing digital information. A radio-based protocol is also defined, which allows wireless control of the devices.</p>

<p>Source: <a href=""https://en.wikipedia.org/wiki/X10_%28industry_standard%29"" rel=""nofollow noreferrer"">https://en.wikipedia.org/wiki/X10_%28industry_standard%29</a></p>

<p>This tag can also be used for questions about interfacing with home automation equipment involving protocols other than X10.</p>
"
bluez,"Use for questions specific to the BlueZ  Linux Bluetooth protocol stack, itself.  Use the [bluetooth] tag for questions about Bluetooth not specifically about BlueZ.","<p>BlueZ is the official Linux Bluetooth protocol stack, providing support for the core Bluetooth layers and protocols. It is an open source project distributed under GNU General Public License (GPL). BlueZ kernel has been part of the official Linux kernel since version 2.4.6.</p>

<p>Source: <a href=""http://www.bluez.org/"" rel=""nofollow noreferrer"">http://www.bluez.org/</a></p>
"
blueman,Use for questions specifically about the Blueman Linux Bluetooth Manager.  Use the [bluetooth] tag for questions about Bluetooth not specific to Blueman.,"<p>Blueman is a GTK+ Linux Bluetooth Manager.  It provides a means for controlling the BlueZ API and simplifying Bluetooth tasks, such as connecting to devices, pairing, and sending/receiving files.</p>

<p>Source: <a href=""https://github.com/blueman-project/blueman"" rel=""nofollow noreferrer"">https://github.com/blueman-project/blueman</a></p>
"
acer-veriton,A series of business-class desktops by Acer.,
uci,"Use for questions about the Unified Configuration Interface, a command line utility for modifying OpenWrt configuration files without a text editor.  For OpenWrt questions not specifically about UCI, use the more general [openwrt] tag, instead.","<p>OpenWrt is an embedded operating system based on the Linux kernel.  Its central configuration is split into several files located in the <code>/etc/config/</code> directory. </p>

<p>The configuration files can be edited with a text editor or modified with the command line utility program <code>uci</code>.  The <strong>U</strong>nified <strong>C</strong>onfiguration <strong>I</strong>nterface is a set of scripts for configuring OpenWrt without the need to open the configuration files in a text editor.</p>

<p>UCI configuration files are also modifiable through various programming APIs (like Shell, Lua and C), which is also how web interfaces like LuCI make changes to the UCI files. </p>

<p>Sources:</p>

<p><a href=""https://wiki.openwrt.org/doc/uci"" rel=""nofollow noreferrer"">UCI</a></p>

<p><a href=""https://en.wikipedia.org/wiki/OpenWrt"" rel=""nofollow noreferrer"">OpenWrt</a></p>
"
amanda,,
paint-3d-preview,Questions related to Paint 3D Preview app on the Microsoft Store,"<p><a href=""https://www.microsoft.com/en-us/store/p/mspaint/9nblggh5fv99"" rel=""nofollow noreferrer"">https://www.microsoft.com/en-us/store/p/mspaint/9nblggh5fv99</a></p>
"
geforce-experience,,
macos-sierra,"Use for questions referring specifically to macOS 10.12, Sierra. Non-version-specific questions related to macOS should be tagged with [macos]. Questions about Mac hardware should be tagged with [mac]. Questions about running macOS on non-Apple hardware (""hackintoshing"") are generally considered off-topic.",
rufus,For questions about using the Rufus Windows application that helps format and create bootable USB flash drives of Windows and many Linux distributions.,"<p>Rufus  is a Windows application that helps format and create bootable USB flash drives. Rufus is recommended at the official Ubuntu website as a way to create a bootable Ubuntu USB stick on Windows.</p>

<p><a href=""https://i.stack.imgur.com/xGhp8.jpg"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/xGhp8.jpg"" alt=""enter image description here""></a></p>

<p>ISOs Rufus is known to work with (non-exhaustive list) includes Arch Linux, Archbang, BartPE/pebuilder, CentOS, Damn Small Linux, Debian, Fedora, FreeDOS, FreeNAS, Gentoo, GParted, gNewSense, Hiren's Boot CD, LiveXP, Knoppix, KolibriOS, Kubuntu, Linux Mint, NT Password Registry Editor, Parted Magic, Partition Wizard, Raspbian, ReactOS, Red Hat, rEFInd, Slackware, Super Grub2 Disk, Tails, Trinity Rescue Kit, Ubuntu, Ultimate Boot CD, Windows XP (SP2+), Windows Vista, Windows Server 2008, Windows 7, Windows 8, Windows 8.1, Windows Server 2012, Windows 10, Windows Server 2016... </p>

<h3>Links</h3>

<ul>
<li><a href=""https://rufus.akeo.ie/"" rel=""nofollow noreferrer"">Rufus website</a>  </li>
<li><a href=""https://www.ubuntu.com/download/desktop/create-a-usb-stick-on-windows"" rel=""nofollow noreferrer"">How to create a bootable USB stick on Windows</a></li>
</ul>
"
vimium,,
virtual-network,,
jupyter-notebook,For questions about installing and using Jupyter Notebook. Jupyter Notebook is a locally installed application that runs in a web browser and provides a front-end to many different languages and interactive shells such as IPython. Questions about programming are off topic and should be asked at: http://stackoverflow.com/,"<p>Jupyter Notebook is a locally installed application that runs in a web browser and provides a front-end to many different languages and interactive shells such as IPython. Jupyter Notebook, unlike its predecessor IPython Notebook, supports many different languages and interactive shells in addition to Python and IPython. </p>

<p>Each Jupyter Notebook document may contain executable code blocks, outputs, plots and Markdown text.</p>
"
yii,,
g-suite,"G Suite is the new name for Google Apps. It is a suite of products for business clients of Google. Unless these products specifically involve your browser or computer software, questions about G Suite are considered off-topic and should be asked on webapps.se","<blockquote>
  <p>We created Google Apps to help people everywhere work and innovate
  together, so organizations can move faster and achieve more. On
  September 29, 2016, we introduced  a new name that better reflects
  this mission: G Suite.</p>
  
  <p>The new name and logo will appear in the Google Admin console, online
  help, and email notifications. G Suite is still the same all-in-one
  solution that you use every day, with the same powerful tools like
  Gmail, Docs, Drive, and Calendar. Your services and pricing remain the
  same.</p>
</blockquote>

<p>Source <a href=""https://support.google.com/a/answer/7126147?hl=en"" rel=""nofollow noreferrer"">About the name change from Google Apps to G Suite</a></p>
"
aws-ses,Amazon Simple Email Service (SES).,
microsoft-driver-verifier,"Use for questions about Microsoft's Driver Verifier utility, which is included in Windows.  Do not use this tag for questions about third-party driver utilities.","<p>Microsoft's <a href=""https://msdn.microsoft.com/windows/hardware/drivers/devtest/driver-verifier"" rel=""nofollow noreferrer"">Driver Verifier</a> monitors Windows kernel-mode drivers and graphics drivers to detect illegal function calls or actions that might corrupt the system. Driver Verifier can subject the Windows drivers to a variety of stresses and tests to find improper behavior.</p>

<p>You can run Driver Verifier on multiple drivers simultaneously, or on one driver at a time. You can configure which tests to run, which allows you to put a driver through heavy stress loads or through more streamlined testing.</p>

<p>Driver Verifier (Verifier.exe) is included in every version of Windows, starting with Windows 2000 (in the %windir%\system32 directory). There isn't a separate Driver Verifier download package.</p>

<ul>
<li>Open a Command Prompt window (Run as administrator).</li>
<li>Type <code>verifier</code> to open the Driver Verifier Manager, or type <code>verifier /?</code> to view command line options. </li>
</ul>

<p>The link, above, is the reference page, which contains more information on this utility.</p>
"
golang,,
bluescreenview,,
g-sync,,
the-bat,"The Bat! is a secure email client offered by Ritlabs, SRL. Questions should be specific to personal non-commercial use.","<p>The Bat! is a secure email client offered by Ritlabs, SRL, in the Republic of Moldova.</p>

<blockquote>
  <p>The Bat! protects your information through multiple encryption streams
  with the option to encrypt your emails on a disk and during
  communication through an SSL/TLS connection. Free from global email
  providers that keep your messages in the cloud, and free from Web
  clients, The Bat! ensures your data stays private.</p>
</blockquote>

<p>According to their site (<a href=""https://www.ritlabs.com/en/products/thebat/"" rel=""nofollow noreferrer"">https://www.ritlabs.com/en/products/thebat/</a>), The Bat! works with Windows XP and later with no minimum requirements for memory or CPU speed.</p>
"
faststone-capture,Screen capturing and recording software by FastStone Soft that also allows basic editing and annotation of images and WMV video files.,"<p>Screen capturing and recording software (Windows only) by FastStone Soft that also allows basic editing and annotation of images and WMV video files.</p>
"
logitech-setpoint,Logitech's software for customizing their keyboards and mice.,
snagit,"For questions about Snagit, a tool for screen capture and screen recording on Windows and Mac which combines screenshots, videos, and image editing",
dns.ptr,Use for questions about PTR (Pointer) records  used to resolve IP addresses into host names (reverse DNS lookup).,
greyhole,"Greyhole is an application that uses Samba to create a storage pool of all your available hard drives, and allows you to create redundant copies of the files you store, in order to prevent data loss when part of your hardware fails",
armbian,For questions about the Armbian Linux distribution for ARM development boards.,"<p>Armbian is a lightweight Linux distribution  for ARM development boards based on Debian or Ubuntu.</p>

<p>Web site: <a href=""https://www.armbian.com/"" rel=""nofollow noreferrer"">https://www.armbian.com/</a></p>
"
advanced-query-syntax,MSDN: Advanced Query Syntax (AQS) is the default query syntax used by Windows Search to query the index and to refine and narrow search parameters.,"<p><a href=""https://msdn.microsoft.com/en-us/library/bb266512.aspx"" rel=""nofollow noreferrer"">Advanced Query Syntax</a> is a <a href=""https://en.wikipedia.org/wiki/Query_language"" rel=""nofollow noreferrer"">query</a> <a href=""https://en.wikipedia.org/wiki/Syntax"" rel=""nofollow noreferrer"">syntax</a> developed by Microsoft for use in the <a href=""https://en.wikipedia.org/wiki/File_Explorer"" rel=""nofollow noreferrer"">Windows File Explorer</a> as well as other Microsoft products such as Outlook that allows users to search for files by more than just a trivial attribute like filename or date.</p>

<p>AQS allows users to search for objects (usually files and folders) by almost all of the properties that objects can have, including both universal, and program-specific meta-data (so long as it is exposed to the operating system). It also provides more options for searching by property including inequalities, boolean logic, and ranges.</p>

<p>In addition, AQS provides human-readable options like <code>date:yesterday</code> and <code>size:tiny</code>.</p>
"
resilio-sync,,
obs-studio,,
macos,"Apple's Unix-based operating system. Use for questions about the operating system or to provide OS context. For Mac hardware questions, use [mac]. Questions about using macOS on non-Apple hardware (""Hackintosh""), are off-topic.
","<h2>About macOS</h2>

<p><a href=""https://www.apple.com/macosx/"" rel=""nofollow noreferrer"">macOS</a> is a Unix-based operating system created and sold by <a href=""https://www.apple.com/"" rel=""nofollow noreferrer"">Apple Inc.</a> for their Macintosh computers. It first debuted in 1999 with Mac OS X Server 1.0. It is based off of NeXTSTEP, NeXT's operating system, which in turn is based off of the Mach kernel. The X in OS X is the Roman numeral for ten and such, pronounced as ten and not as a normal ""x"".</p>

<p>Apple rebranded OS X as macOS with the release of 10.12 (Sierra) in June 2016.</p>

<h2>How to use the tag</h2>

<ul>
<li><p>This tag is for any and all questions related to OS X. Questions about the hardware should be tagged <a href=""/questions/tagged/mac"" class=""post-tag"" title=""show questions tagged &#39;mac&#39;"" rel=""tag"">mac</a> instead.</p></li>
<li><p>It is against the Mac OS X EULA to install OS X on any non-Apple branded hardware (""Hackintosh""). Hackintosh questions <a href=""https://meta.superuser.com/questions/1471/are-hackintosh-questions-allowed"">are considered off-topic for Super User</a>.</p></li>
</ul>

<h2>Related Tags</h2>

<p>There are several related tags for <a href=""/questions/tagged/macos"" class=""post-tag"" title=""show questions tagged &#39;macos&#39;"" rel=""tag"">macos</a> designed to specify the version of OS X in use such as:</p>

<ul>
<li><p><a href=""/questions/tagged/macos-highsierra"" class=""post-tag"" title=""show questions tagged &#39;macos-highsierra&#39;"" rel=""tag"">macos-highsierra</a> &ndash; macOS 10.13 (High Sierra), the latest public version, adding APFS as the default file system, and enhancements to Photos and Safari.</p></li>
<li><p><a href=""/questions/tagged/macos-sierra"" class=""post-tag"" title=""show questions tagged &#39;macos-sierra&#39;"" rel=""tag"">macos-sierra</a> &ndash; macOS 10.12 (Sierra), adding Siri, universal clipboard, and enhancements to Messages and Photos.</p></li>
<li><p><a href=""/questions/tagged/osx-el-capitan"" class=""post-tag"" title=""show questions tagged &#39;osx-el-capitan&#39;"" rel=""tag"">osx-el-capitan</a> &ndash; OS X 10.11 (El Capitan), adding split-screen view, System Integrity Protection, and support for the Metal graphics API.</p></li>
<li><p><a href=""/questions/tagged/osx-yosemite"" class=""post-tag"" title=""show questions tagged &#39;osx-yosemite&#39;"" rel=""tag"">osx-yosemite</a> &ndash; OS X 10.10 (Yosemite), adding Handoff, iPhone calls, SMS, Instant Hotspot, and a new dark theme.</p></li>
<li><p><a href=""/questions/tagged/osx-mavericks"" class=""post-tag"" title=""show questions tagged &#39;osx-mavericks&#39;"" rel=""tag"">osx-mavericks</a> &ndash; OS X 10.9 (Mavericks), adding iBooks and Maps, and focusing on power-users such as better multi-display support.</p></li>
<li><p><a href=""/questions/tagged/osx-mountain-lion"" class=""post-tag"" title=""show questions tagged &#39;osx-mountain-lion&#39;"" rel=""tag"">osx-mountain-lion</a> &ndash; OS X 10.8 (Mountain Lion), adding Notification Center, Reminders and Notes.</p></li>
<li><p><a href=""/questions/tagged/osx-lion"" class=""post-tag"" title=""show questions tagged &#39;osx-lion&#39;"" rel=""tag"">osx-lion</a> &ndash; OS X 10.7 (Lion), which included new features such as full disk encryption, Mission Control, Auto-resuming apps and additional support for multi-touch gestures.</p></li>
<li><p><a href=""/questions/tagged/osx-snow-leopard"" class=""post-tag"" title=""show questions tagged &#39;osx-snow-leopard&#39;"" rel=""tag"">osx-snow-leopard</a> &ndash; OS X 10.6 (Snow Leopard), an upgrade that primarily focused on speed and stability.</p></li>
<li><p><a href=""/questions/tagged/osx-leopard"" class=""post-tag"" title=""show questions tagged &#39;osx-leopard&#39;"" rel=""tag"">osx-leopard</a> &ndash; OS X 10.5 (Leopard), which introduced many new features such as a redesigned Finder, the ""Spaces"" desktop management and the Time Machine backup utility.</p></li>
<li><p><a href=""/questions/tagged/osx-tiger"" class=""post-tag"" title=""show questions tagged &#39;osx-tiger&#39;"" rel=""tag"">osx-tiger</a> &ndash; OS X 10.4 (Tiger), which introduced the Spotlight search, the Automator scripting tool and Dictionary.</p></li>
<li><p><a href=""/questions/tagged/osx-panther"" class=""post-tag"" title=""show questions tagged &#39;osx-panther&#39;"" rel=""tag"">osx-panther</a> &ndash; OS X 10.3 (Panther), which updated Finder and introduced Exposé, the File Vault encryption and the Safari browser.</p></li>
<li><p><a href=""/questions/tagged/osx-server"" class=""post-tag"" title=""show questions tagged &#39;osx-server&#39;"" rel=""tag"">osx-server</a> &ndash; a specialized server version for OS X which used to be released along with the ""normal"" OS X versions. As of 10.7 Lion, OS X server additions can be installed as an application package through the Mac App Store.</p></li>
</ul>

<p>Questions about OS X can also be asked on <a href=""https://apple.stackexchange.com/"">Ask Different</a>, which is focused on Apple products.</p>

<p><a href=""https://en.wikipedia.org/wiki/MacOS"" rel=""nofollow noreferrer"">macOS on Wikipedia.</a></p>
"
certbot,,
reverse-tethering,Reverse tethering means using your normal network device (e.g. a desktop) to acts as bridge for a mobile device.,"<p>Reverse tethering means using your normal network device (e.g. a desktop) to acts as bridge for a mobile device.</p>
"
telemetry,,
invantive-control,"Invantive Control is a risk management software that integrates with Microsoft Excel. It is aimed at financial market and allows users to create risk matrices, models and plans.

http://www.invantive.com/products/invantive-control-for-excel",
exact-online,"Exact Online is an online accounting program. Use this tag for questions about the use of Exact Online, or the data retrieved from it using its various interfaces.","<p><a href=""http://www.exactonline.com/"" rel=""nofollow noreferrer"">Exact Online</a> is an online accounting program. Use this tag for questions about the use of Exact Online, or the data retrieved from it using its various interfaces.</p>

<p>Some useful resources to start using Exact Online:</p>

<ul>
<li><a href=""https://help.exactonline.com/"" rel=""nofollow noreferrer"">Exact Online help center</a>.</li>
</ul>
"
microsoft-visio-2016,,"<p>Questions with this tag should refer specifically to versions of Microsoft Visio 2016. Anything related in general (non-version specific) to Visio Software should be tagged with <a href=""/questions/tagged/microsoft-visio"" class=""post-tag"" title=""show questions tagged &#39;microsoft-visio&#39;"" rel=""tag"">microsoft-visio</a></p>

<p><strong>Version Relation:</strong></p>

<ul>
<li><em>Previous:</em> <a href=""/questions/tagged/microsoft-visio-2003"" class=""post-tag"" title=""show questions tagged &#39;microsoft-visio-2003&#39;"" rel=""tag"">microsoft-visio-2003</a></li>
<li><em>Previous:</em> <a href=""/questions/tagged/microsoft-visio-2007"" class=""post-tag"" title=""show questions tagged &#39;microsoft-visio-2007&#39;"" rel=""tag"">microsoft-visio-2007</a></li>
<li><em>Previous:</em> <a href=""/questions/tagged/microsoft-visio-2010"" class=""post-tag"" title=""show questions tagged &#39;microsoft-visio-2010&#39;"" rel=""tag"">microsoft-visio-2010</a></li>
<li><em>Previous:</em> <a href=""/questions/tagged/microsoft-visio-2013"" class=""post-tag"" title=""show questions tagged &#39;microsoft-visio-2013&#39;"" rel=""tag"">microsoft-visio-2013</a></li>
<li><em>Next:</em> <a href=""/questions/tagged/microsoft-visio-2019"" class=""post-tag"" title=""show questions tagged &#39;microsoft-visio-2019&#39;"" rel=""tag"">microsoft-visio-2019</a></li>
</ul>
"
product-key-recovery,,
dash,"For question about the Dash applications dashboard. The Dash is used to search for and launch applications in Ubuntu and GNOME Shell. For the command-line shell, use [tag:dash-shell].","<p>The Dash grants quick access to applications, files and folders, and shortcuts in Ubuntu and GNOME Shell.</p>

<p><a href=""https://i.stack.imgur.com/yJGYu.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/yJGYu.png"" alt=""enter image description here""></a><br>
<sup><b>Dash in Ubuntu 18.04</b></sup></p>
"
redhat-classic,"Red Hat Linux was a popular Linux distribution that was maintained from version 0.9 in 1994 through version 9 in 2004, with updates provided by the community through 2006. Originally referred to as Red Hat Commercial Linux, it has been discontinued. It was superseded in 2002 by Red Hat Enterprise Linux and in 2003 by the Fedora series.","<p>Red Hat Linux was a popular Linux distribution that was maintained from version 0.9 in 1994 through version 9 in 2004, with updates provided by the community through 2006. Originally referred to as Red Hat Commercial Linux, it has been discontinued. It was superseded in 2002 by Red Hat Enterprise Linux and in 2003 by the Fedora series.</p>

<h3>Related</h3>

<ul>
<li><a href=""/questions/tagged/redhat-enterprise-linux"" class=""post-tag"" title=""show questions tagged &#39;redhat-enterprise-linux&#39;"" rel=""tag"">redhat-enterprise-linux</a></li>
<li><a href=""/questions/tagged/fedora"" class=""post-tag"" title=""show questions tagged &#39;fedora&#39;"" rel=""tag"">fedora</a></li>
</ul>

<h3>Homepage</h3>

<p><a href=""https://www.redhat.com/"" rel=""nofollow noreferrer"">https://www.redhat.com/</a></p>
"
twinfield,"Twinfield is an online accounting program used in the Netherlands. Use this tag for questions about the use of Twinfield, or the data retrieved from it using its various interfaces.",
vhdx,,
hyper-v-manager,,
ublock-origin,,
microsoft-word-2000,Microsoft Word 2000 is one of the early versions of Microsoft Word. See also [microsoft-word].,"<p>Microsoft Word 2000 is one of the early versions of Microsoft Word. See also <a href=""/questions/tagged/microsoft-word"" class=""post-tag"" title=""show questions tagged &#39;microsoft-word&#39;"" rel=""tag"">microsoft-word</a>.</p>
"
invantive-data-hub,,
epson-stylus,,
daloradius,,
graphpad-prism,For questions about using the GraphPad Prism statistical graphing software.,"<p>GraphPad Prism is a commercial statistical graphing program widely used in Academia and the Biotech and Pharma industries. It is currently available for Windows and Mac platforms.</p>

<p>Web site: <a href=""https://graphpad.com/"" rel=""nofollow noreferrer"">https://graphpad.com/</a></p>
"
stress-test,,
nextcloud,,
sql-server-2016,,
invantive-sql,,"<p>Invantive SQL is a SQL language and execution engine which retrieves and stores data in many traditional databases as well as cloud-based applications using a consistent SQL dialect, such as Exact Online, Freshdesk, Microsoft Dynamics, Stack Exchange, etc.</p>

<p>Invantive PSQL is a procedural extension on top of SQL included with Invantive SQL. Please use the tag Invantive SQL for PSQL questions.</p>

<p>Questions should include relevant SQL statements to reproduce the problem, when possible on the reference database <em>Dummy</em>. Also include appropriate tag(s) for the databases and/or cloud-applications you are querying, like <a href=""/questions/tagged/exact-online"" class=""post-tag"" title=""show questions tagged &#39;exact-online&#39;"" rel=""tag"">exact-online</a> or <a href=""/questions/tagged/freshdesk"" class=""post-tag"" title=""show questions tagged &#39;freshdesk&#39;"" rel=""tag"">freshdesk</a>.</p>

<p>For product use questions use <a href=""//superuser.com"">Super User</a>.</p>

<hr>

<p>If you want to ask a question about an error you get when firing a SQL statement, copy this template into your question:</p>

<pre><code>Problem statement:

[explain what you want to achieve]

Steps to reproduce:

1. The first step

2. The second step

        The SQL code you used (don't use images but code formatting)

Expected result: [show or explain the expected result, preferably in text]

Actual result: [show or explain the actual result, preferably in text. If you received an error, include the full error in the block below]

&gt; [The error message]
</code></pre>
"
invantive-dataaccesspoint,,
fireftp,FireFTP is an FTP client add-on for Mozilla Firefox.,"<p>FireFTP is an FTP client add-on for Mozilla Firefox.</p>
"
invantive-bridge,,
kaby-lake,Kaby-Lake CPU's are Intels 7'th generation CPU's.  It is approrpiate to tag questions specific to this generation of CPU with this tag.,
office-xp,Office XP is an old version of the Microsoft Office software suite. It is the successor to Office 2000 and the predecessor to Office 2003.,
docker-for-windows,"Docker implementation for Windows, running on Hyper-V.","<p>Docker implementation for Windows, running on Hyper-V.</p>
"
clonecd,RedFox CloneCD is an optical disk authoring software mostly used to make exact 1:1 copies of CD and DVD media.,
sstp,Secure Socket Tunneling Protocol is a type of VPN tunnel. It provides a way to transport PPP traffic through a SSL/TLS channel. ,
discord,"A free voice and text chat application for gamers released in 2015 for Windows, Mac, Linux, iOS, and Android.

Questions about the program Discord can be asked on SuperUser. Questions about using discord that could also apply to the website should be asked on webapps.stackexchange.com however.","<p>A free voice and text application released in 2015. It is currently available for Windows, Mac, Linux, iOS, and Android. Discord was primarily designed for gamers with the intent of incorporating the best features from other voice chat clients such as <a href=""/questions/tagged/skype"" class=""post-tag"" title=""show questions tagged &#39;skype&#39;"" rel=""tag"">skype</a> and <a href=""/questions/tagged/teamspeak"" class=""post-tag"" title=""show questions tagged &#39;teamspeak&#39;"" rel=""tag"">teamspeak</a>.</p>

<h3>General Information</h3>

<ul>
<li><strong>Release Date</strong>: March 6, 2015</li>
<li><strong>Developer</strong>: Discord Inc. (Formerly Hammer &amp; Chisel)</li>
</ul>

<h3>Links</h3>

<ul>
<li><a href=""https://discordapp.com/"" rel=""nofollow noreferrer""><strong>Official Site</strong></a></li>
<li><a href=""https://en.wikipedia.org/wiki/Discord_(software)"" rel=""nofollow noreferrer""><strong>English Wikipedia Page</strong></a></li>
</ul>

<p><a href=""https://i.stack.imgur.com/QsAiR.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/QsAiR.png"" alt=""Discord footer image""></a></p>
"
visual-studio-2017,"For questions specific to Microsoft Visual Studio 2017.  Questions about Visual Studio cloud collaboration tools (Team Services, previously Visual Studio Online), may be a better fit on http://webapps.stackexchange.com/.  Use [tag:visual-studio] instead for questions involving Visual Studio in general.","<p>Questions with this tag should refer specifically to Visual Studio 2017. Anything related in general to any (non-version specific) feature within Visual Studio should be tagged with <a href=""/questions/tagged/visual-studio"" class=""post-tag"" title=""show questions tagged &#39;visual-studio&#39;"" rel=""tag"">visual-studio</a>.</p>

<p>Visual Studio 2017 is Version 15.0 of Microsoft's integrated development environment (IDE) and was released on March 7, 2017.</p>
"
wiimote,"The Wii Remote, also known as the Wiimote, is the primary controller for Nintendo's Wii console.",
vcxsrv,VcXsrv is an X Server for Windows,
preview-pane,,
windows-10-v1703,For questions about the Windows 10 Creators Update (Version 1703 - Build 15063). Use [windows-10] for questions not specific to a particular release of Windows 10.,"<p>For questions about the Windows 10 Creators update (Version 1703 - Build 15063.x). Use <a href=""/questions/tagged/windows-10"" class=""post-tag"" title=""show questions tagged &#39;windows-10&#39;"" rel=""tag"">windows-10</a> for questions not specific to a particular release of Windows 10.</p>

<p>This update was released on <a href=""https://blogs.windows.com/windowsexperience/?p=143759"" rel=""nofollow noreferrer"">11 April 2017 on Windows Update</a> as free update for Windows 10 users.</p>
"
access-based-enumeration,Access-based enumeration is a feature of Microsoft Windows Server operating systems that hides folders in a share to which users do not have at least Read permissions.  It was first introduced in Windows Server 2008.,
sql-server-2014,,
uwsgi,,
ubuntu-17.04,,
umatrix,,
mqtt,,
recovery-disk,A recovery disk contains the tools and additional information that can be used to recover your system using data stored on your hard drive.,
multipath,,
volume-label,,
refind,rEFInd is a boot menu and maintenance toolkit for UEFI-based machines like all new PCs and Intel Macs. It can be used to boot multiple operating systems.,
usb-3.1-type-c,,
thunderbolt-networking,,
mathcad,"Mathcad is computer software primarily intended for the verification, validation, documentation and re-use of engineering calculations.",
microsoft-word-2002,"Microsoft Word 2002 is one of the early versions of Microsoft Word. It was part of [office-xp], intended for use on the Windows XP operating system.","<p>This is for questions specifically related to Microsoft Word 2002. This is one of the early versions of Microsoft Word. It was part of <a href=""/questions/tagged/office-xp"" class=""post-tag"" title=""show questions tagged &#39;office-xp&#39;"" rel=""tag"">office-xp</a>, and intended for use on the Windows XP operating system.</p>

<h3>Links</h3>

<p><a href=""https://en.wikipedia.org/wiki/Microsoft_Office_XP"" rel=""nofollow noreferrer"">https://en.wikipedia.org/wiki/Microsoft_Office_XP</a></p>
"
syskey,Syskey is a utility included in Microsoft Windows that encrypts the Security Accounts Manager (SAM) database. It is intended to prevent offline attacks against the hashed passwords stored in the SAM.,
wbadmin,A Windows tool for doing Bare Metal system image backups.,
ransomware,A type of malicious software designed to block access to a computer system until a sum of money is paid.,
wannacrypt,Wannacry is a ransomware computer worm that targets the Microsoft Windows operating system.,
wake-on-demand,,
pacman,"For questions about the Pacman package manager used with Arch Linux and its derivatives.  Do not use for questions about other software or hardware with a similar name, such as the game.",
gnu-ring,,
simplification,,
docker-swarm,,
dbeaver,,
windows-10s,For questions specific to Windows 10 S. Use [windows-10] instead for questions involving Windows 10 in general.,"<p>Windows 10 S is a streamlined version of Windows 10 Pro (streamlined for both security and performance). </p>

<p>It only uses apps from the Windows Store and forces the use of Microsoft Edge for browsing.</p>
"
windows-mobility-center,"for questions related to Windows Mobility Center, a component of Microsoft Windows, introduced in Windows Vista, that centralizes information and settings most relevant to mobile computing","<p>This is for questions related to Windows Mobility Center, a component of Microsoft Windows, introduced in Windows Vista, that centralizes information and settings most relevant to mobile computing.</p>

<h3>Reference</h3>

<p><a href=""https://en.wikipedia.org/wiki/Windows_Mobility_Center"" rel=""nofollow noreferrer"">https://en.wikipedia.org/wiki/Windows_Mobility_Center</a></p>
"
twitch,,
heroku,,
accuraterip,AccurateRip is an Audio CD ripping technology which can verify extracted audio files are 100% free from errors.,
keybase,,
microsoft-smartscreen,Phishing and malware filter in which scans URLs and executables against a blacklist of known malicious software. Included in Windows 8 and 10.,
smb3,,
nppscript,Notepad++ Automation (NppScripts),"<p>NppScripts is a framework for developing and hosting automation scripts (Notepad++ light-weight plugins). </p>

<p>NppScripts itself is a typical Notepad++ plugin implemented with NppPlugin.NET.  </p>
"
optane,,
appdata,Use this tag when the topic is about the Windows %APPDATA% section of a user's directory.  This can include information about how to find where specific programs store your individual settings.,"<p>Use this tag when the topic is about the Windows %APPDATA% section of a user's directory.  This can include information about how to find where specific programs store your individual settings.</p>
"
lede,,
lto,,
certificate-authority,,
kaleidoscope,"Kaleidoscope is a file comparison application for MacOS. You can use it to spot the differences in text, images, and folders.",
pure-ftpd,,
configuration-managment,,
icecast,"Icecast is a streaming media project, released as free software, maintained by the Xiph.org Foundation. It also refers specifically to the server program which is part of the project. Live audio streams are commonly streamed using either Icecast or SHOUTcast servers. ",
page,,
debian-stretch,,
cloudberry,"Cloudberry is a company that provides products relating to cloud storage systems including Cloudberry Backup, Cloudberry Explorer, and Cloudberry Drive.",
